timestamp,cpu_load,events_per_sec,avg_latency,score
2026-04-26 16:55:15,30%,993.19,1.01,983.36
2026-04-26 16:55:15,40%,993.13,1.01,983.30
2026-04-26 16:55:15,50%,1011.76,0.99,1021.98
2026-04-26 16:55:15,60%,939.46,1.06,886.28
2026-04-26 16:55:15,70%,982.78,1.02,963.51
2026-04-26 16:55:15,80%,911.28,1.10,828.44
2026-04-26 16:55:15,90%,853.80,1.17,729.74
2026-04-26 17:26:53,30%,1013.98,0.99,1024.22
2026-04-26 17:26:53,40%,990.18,1.01,980.38
2026-04-26 17:26:53,50%,950.29,1.05,905.04
2026-04-26 17:26:53,60%,929.88,1.07,869.05
2026-04-26 17:26:53,70%,921.65,1.08,853.38
2026-04-26 17:26:53,80%,915.39,1.09,839.81
2026-04-26 17:26:53,90%,817.45,1.22,670.04
2026-04-26 17:58:32,30%,994.17,1.00,994.17
2026-04-26 17:58:32,40%,990.71,1.01,980.90
2026-04-26 17:58:32,50%,870.80,1.15,757.22
2026-04-26 17:58:32,60%,947.76,1.05,902.63
2026-04-26 17:58:32,70%,945.56,1.06,892.04
2026-04-26 17:58:32,80%,898.73,1.11,809.67
2026-04-26 17:58:32,90%,874.65,1.14,767.24
2026-04-26 18:30:10,30%,1009.60,0.99,1019.80
2026-04-26 18:30:10,40%,972.99,1.03,944.65
2026-04-26 18:30:10,50%,906.10,1.10,823.73
2026-04-26 18:30:10,60%,871.97,1.15,758.23
2026-04-26 18:30:10,70%,884.35,1.13,782.61
2026-04-26 18:30:10,80%,902.70,1.11,813.24
2026-04-26 18:30:10,90%,889.35,1.12,794.06
2026-04-26 19:01:48,30%,1048.91,0.95,1104.12
2026-04-26 19:01:48,40%,990.00,1.01,980.20
2026-04-26 19:01:48,50%,962.05,1.04,925.05
2026-04-26 19:01:48,60%,925.41,1.08,856.86
2026-04-26 19:01:48,70%,882.62,1.13,781.08
2026-04-26 19:01:48,80%,844.74,1.18,715.88
2026-04-26 19:01:48,90%,828.78,1.21,684.94
2026-04-26 19:33:27,30%,996.56,1.00,996.56
2026-04-26 19:33:27,40%,1032.28,0.97,1064.21
2026-04-26 19:33:27,50%,992.32,1.01,982.50
2026-04-26 19:33:27,60%,922.01,1.08,853.71
2026-04-26 19:33:27,70%,883.46,1.13,781.82
2026-04-26 19:33:27,80%,908.46,1.10,825.87
2026-04-26 19:33:27,90%,900.67,1.11,811.41
2026-04-26 20:05:05,30%,1040.61,0.96,1083.97
2026-04-26 20:05:05,40%,1007.32,0.99,1017.49
2026-04-26 20:05:05,50%,984.12,1.02,964.82
2026-04-26 20:05:05,60%,915.36,1.09,839.78
